timestamp,relative,rtt
1723489200.167948,0.0,144.0
1723489200.196588,0.028640031814575195,155.0
1723489200.20177,0.033822059631347656,145.0
1723489200.214504,0.04655599594116211,140.0
1723489200.231538,0.06359004974365234,142.0
1723489200.244513,0.07656502723693848,139.0
1723489200.268516,0.10056805610656738,147.0
1723489200.27897,0.1110219955444336,142.0
1723489200.294948,0.127000093460083,142.0
1723489200.310866,0.14291810989379883,143.0
1723489200.34037,0.17242193222045898,159.0
1723489200.34063,0.1726820468902588,144.0
1723489200.35628,0.18833208084106445,142.0
1723489200.372172,0.2042241096496582,143.0
1723489200.382928,0.214979887008667,141.0
1723489200.412205,0.24425697326660156,157.0
1723489200.412343,0.24439501762390137,144.0
1723489200.423034,0.25508594512939453,144.0
1723489200.433522,0.26557397842407227,140.0
1723489200.449587,0.28163909912109375,144.0
1723489200.460197,0.2922489643096924,139.0
1723489200.484381,0.3164329528808594,147.0
1723489200.494864,0.326915979385376,143.0
1723489200.505737,0.33778905868530273,139.0
1723489200.526903,0.35895490646362305,144.0
1723489200.556425,0.388477087020874,159.0
1723489200.561562,0.3936140537261963,149.0
1723489200.566813,0.3988649845123291,144.0
1723489200.577536,0.409588098526001,144.0
1723489200.5882,0.42025208473205566,139.0
1723489200.60441,0.4364619255065918,144.0
1723489200.628262,0.4603140354156494,155.0
1723489200.628407,0.46045899391174316,144.0
1723489200.638825,0.47087693214416504,144.0
1723489200.649481,0.4815330505371094,143.0
1723489200.660371,0.49242305755615234,139.0
1723489200.676475,0.5085270404815674,139.0
1723489200.70039,0.5324420928955078,148.0
1723489200.710899,0.5429511070251465,144.0
1723489200.721833,0.5538849830627441,144.0
1723489200.737569,0.5696210861206055,149.0
1723489200.742754,0.5748059749603271,141.0
1723489200.77772,0.6097719669342041,162.0
1723489200.78289,0.6149420738220215,154.0
1723489200.783142,0.6151940822601318,144.0
1723489200.793554,0.6256060600280762,144.0
1723489200.80439,0.6364419460296631,144.0
1723489200.820221,0.6522729396820068,143.0
1723489200.84457,0.6766219139099121,151.0
1723489200.854967,0.6870191097259521,144.0
1723489200.866461,0.6985130310058594,143.0
1723489200.876297,0.7083489894866943,139.0
1723489200.892278,0.724329948425293,139.0
1723489200.925052,0.7571039199829102,148.0
1723489200.932392,0.7644438743591309,147.0
1723489200.937674,0.769726037979126,144.0
1723489200.948416,0.7804679870605469,144.0
1723489200.958989,0.7910408973693848,142.0
1723489200.988285,0.8203370571136475,157.0
1723489200.988418,0.8204700946807861,143.0
1723489200.998943,0.8309950828552246,144.0
1723489201.009633,0.8416850566864014,143.0
1723489201.025712,0.8577640056610107,149.0
1723489201.044456,0.8765079975128174,151.0
1723489201.06044,0.8924920558929443,152.0
1723489201.070848,0.902899980545044,145.0
1723489201.081556,0.9136080741882324,144.0
1723489201.092182,0.9242339134216309,143.0
